row_id;Programme Name;Qualification Type;NQF Level;NSC Pass Type Required;Min_English_%;Min_Mathematics_%;Min_MathsLiteracy_%;Min_TechnicalMaths_%;Other_Required_Subjects;Faculty;Campuses;Study Modes;Notes
1;Higher Certificate in Business Management Practice;Higher Certificate;5;Higher Certificate pass;Passed;;;; ;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into Diploma and Degree in business. RPL available.
2;Higher Certificate in Accounting Practice;Higher Certificate;5;Higher Certificate pass;Passed;;;;; Accounting and Financial Services;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into Diploma or Degree in Accounting.
3;Higher Certificate in Human Resource Management Practice;Higher Certificate;5;Higher Certificate pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into BCom in Human Resource Management.
4;Higher Certificate in Logistics and Supply Chain Management Practice;Higher Certificate;5;Higher Certificate pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into Diploma or Degree in Logistics.
5;Higher Certificate in Marketing Practice;Higher Certificate;5;Higher Certificate pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into Diploma or Degree in Marketing.
6;Higher Certificate in Public Relations Practice;Higher Certificate;5;Higher Certificate pass;Passed;;;;;Humanities and Social Science;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into Diploma in Public Relations.
7;Higher Certificate in IT Support Services;Higher Certificate;5;Higher Certificate pass;Passed;;;;;Information and Communications Technology;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into Diploma in Systems Development or Network Systems.
8;Higher Certificate in Early Childhood Care and Education;Higher Certificate;5;Higher Certificate pass;Passed;;;;;Education;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Gateway into further Education programmes.
9;Diploma in Business Management;Diploma;6;Diploma pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Articulates into BCom and BBA degrees. RPL available.
10;Diploma in Financial Accounting;Diploma;6;Diploma pass;Passed;;; ;Accounting 50%;Accounting and Financial Services;Nationwide Learner Support Centres;Contact and Distance (Online);No specific Maths % specified but Accounting must be passed. Articulates into Bachelor of Accounting.
11;Diploma in Human Resource Management;Diploma;6;Diploma pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement — English passed is the only subject requirement. Articulates into BCom in Human Resource Management.
12;Diploma in Marketing Management;Diploma;6;Diploma pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement — English passed is the only subject requirement. Articulates into BCom in Marketing Management.
13;Diploma in Event Management;Diploma;6;Diploma pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Contact and Distance (Online);No specific Maths requirement — English passed is the only subject requirement.
14;Diploma in Systems Development;Diploma;6;Diploma pass;Passed;;;;;Information and Communications Technology;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement. Articulates into BCom IT or related degrees.
15;Diploma in Network Systems;Diploma;6;Diploma pass;Passed;;;;;Information and Communications Technology;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement or minimum % specified — English passed is the only subject requirement.
16;Diploma in Office Administration;Diploma;6;Diploma pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement — English passed is the only subject requirement.
17;Diploma in Commerce in Public Relations;Diploma;6;Diploma pass;Passed;;;;;Humanities and Social Science;Nationwide Learner Support Centres;Distance (Online);No specific Maths requirement — English passed is the only subject requirement.
18;Bachelor of Accounting;Bachelor;7;Bachelor's pass;Passed;Passed;Not accepted;Not accepted;Accounting passed;Accounting and Financial Services;Nationwide Learner Support Centres;Distance (Online);Pure Mathematics and Accounting required — both must have been passed at NSC level. Maths Literacy and Technical Maths not accepted. No minimum % specified beyond passing. Boston does not use an APS/points system.
19;Bachelor of Commerce in Marketing Management;Bachelor;7;Bachelor's pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths type required beyond NSC Bachelor's pass. Boston does not use an APS/points system.
20;Bachelor of Commerce in Human Resource Management;Bachelor;7;Bachelor's pass;Passed;;;;;Business Administration and Service;Nationwide Learner Support Centres;Distance (Online);No specific Maths type required beyond NSC Bachelor's pass. Boston does not use an APS/points system.
21;Bachelor of Commerce in Law;Bachelor;7;Bachelor's pass;Passed;;;;;Law;Nationwide Learner Support Centres;Distance (Online);No specific Maths type required beyond NSC Bachelor's pass. Boston does not use an APS/points system.
22;Bachelor of Social Science;Bachelor;7;Bachelor's pass;Passed;;;;;Humanities and Social Science;Nationwide Learner Support Centres;Distance (Online);No specific Maths type required beyond NSC Bachelor's pass. Boston does not use an APS/points system.
23;Bachelor of Laws (LLB);Bachelor of Laws;8;Bachelor's pass;Passed;;;;;Law;Nationwide Learner Support Centres;Distance (Online);NQF Level 8. Professional legal qualification. 4-year degree. No specific Maths type required beyond NSC Bachelor's pass. Boston does not use an APS/points system.
