row_id;Programme Name;Qualification Type;NQF Level;NSC Pass Type Required;Min_English_%;Min_Mathematics_%;Min_MathsLiteracy_%;Min_TechnicalMaths_%;Other_Required_Subjects;Faculty;Campuses;Study Modes;Notes;
1;Pre-degree Foundation Programme (Commerce and Law);Pre-degree Foundation Programme;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Commerce;All Campuses;Campus Full-Time;For students who did not obtain a Bachelor's pass. Gateway into BCom and Law degrees upon successful completion.;
2;Pre-degree Foundation Programme (Graphic Design);Pre-degree Foundation Programme;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Humanities;All Campuses;Campus Full-Time;For students who did not obtain a Bachelor's pass. Gateway into BA Graphic Design upon successful completion.;
3;Pre-degree Foundation Programme (Information Technology);Pre-degree Foundation Programme;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;30;;;;Information Technology;All Campuses;Campus Full-Time;For students who did not obtain a Bachelor's pass. Gateway into BSc IT degrees upon successful completion.;
4;Pre-degree Foundation Programme (Science);Pre-degree Foundation Programme;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;30;;;;Applied Science;All Campuses;Campus Full-Time;For students who did not obtain a Bachelor's pass. Gateway into BSc Applied Science degrees upon successful completion.;
5;Pre-degree Foundation Programme (Social Sciences);Pre-degree Foundation Programme;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Humanities;All Campuses;Campus Full-Time;For students who did not obtain a Bachelor's pass. Gateway into BA Social Science degrees upon successful completion.;
6;Bachelor of Commerce Access Programme (Accounting);Access Programme;5;Bachelor's pass;30;Not accepted;Not accepted;Not accepted;;Commerce;All Campuses;"Campus Full-Time; Online Part-Time";For students with a Bachelor's pass with Mathematics below 45% OR English 30-49% OR Mathematical Literacy 30-49%. Maximum duration 2 blocks (6 months).;
7;Bachelor of Arts Access Programme (Humanities);Access Programme;5;Bachelor's pass;30;;;;;Humanities;All Campuses;Campus Full-Time;For students with a Bachelor's pass who do not meet subject requirements for BA degrees. Maximum duration 2 blocks (6 months).;
8;Bachelor of Science Access Programme (Information Technology);Access Programme;5;Bachelor's pass;40;Not accepted;Not accepted;Not accepted;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time";For students with Mathematics below 30% OR Mathematical Literacy below 50%. Maximum duration 2 blocks (6 months).;
9;Bachelor of Science Access Programme (Science);Access Programme;5;Bachelor's pass;40;;;;;Life Sciences 30%-49% OR Physical Science below 50%;Applied Science;All Campuses;Campus Full-Time;For students with a Bachelor's pass not meeting BSc Applied Science subject requirements. Maximum duration 2 blocks (6 months).
10;Higher Certificate in Bioscience;Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;40;50;40;;Applied Science;Midrand;Campus Full-Time;Foundation entry into Applied Science. Requirements not applicable if Foundation or Access Programme already completed.;
11;Higher Certificate in Business Management;Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Commerce;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time; Distance Full-Time; Distance Part-Time";No specific Maths requirement beyond NSC pass. RPL available.;
12;Higher Certificate in Business Management (Tourism);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Commerce;All Campuses;"Campus Full-Time; Online Full-Time; Online Part-Time; Distance Full-Time; Distance Part-Time";No specific Maths requirement beyond NSC pass. RPL available.;
13;Higher Certificate in Business Management (Digital Banking);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Commerce;All Campuses (Online only);"Online Full-Time; Online Part-Time";Offered online only. No specific Maths requirement.;
14;Higher Certificate in Business Management (Employment Relations);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Commerce;All Campuses (Online only);"Online Full-Time; Online Part-Time";Offered online only. No specific Maths requirement.;
15;Higher Certificate in Art and Design;Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Humanities;"Bedfordview; Midrand; Pretoria; Tygervalley (Cape Town)";"Campus Full-Time; Online Full-Time; Online Part-Time";No specific Maths requirement. Portfolio or creative interest recommended.;
16;Higher Certificate in Computing (Computer Systems Architecture);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time";No specific Maths requirement beyond NSC pass.;
17;Higher Certificate in Computing (Data Analytics);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time";No specific Maths requirement beyond NSC pass.;
18;Higher Certificate in Computing (Software Development Lifecycles);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time";No specific Maths requirement beyond NSC pass.;
19;Higher Certificate in Computing (Strategic Information Systems);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time";No specific Maths requirement beyond NSC pass.;
20;Higher Certificate in Computing (Website Design and Development);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Online Full-Time";No specific Maths requirement beyond NSC pass.;
21;Higher Certificate in Information Systems (Cloud Computing);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
22;Higher Certificate in Information Systems (Cyber Security);Higher Certificate;5;Higher Certificate pass OR Diploma pass OR Bachelor's pass;40;;;;;Information Technology;All Campuses;"Campus Full-Time; Campus Part-Time; Online Full-Time; Online Part-Time";Available via UpNXT (Sequential Mode). No specific Maths requirement.;
