row_id;Programme Name;Qualification Type;NQF Level;NSC Pass Type Required;Min_English_%;Min_Mathematics_%;Min_MathsLiteracy_%;Min_TechnicalMaths_%;Other_Required_Subjects;Faculty;Campuses;Study Modes;Notes;;;;;;;;;;;;
1;Higher Certificate in Business Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning; Contact Learning";No Maths requirement. English 30% (language of teaching and learning). NSC with HC admission. RPL available. 6 modules over 2 semesters. Gateway into BCom degree programmes. Regent uses endorsement system — not points-based.;;;;;;;;;;;;
2;Higher Certificate in Accounting;Higher Certificate;5;Higher Certificate pass;30;;;;;Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No specific Maths % required. English 30%. NSC with HC admission. RPL available. 6 modules over 2 semesters. Covers accounting theory; financial data analysis; basic bookkeeping. Gateway into BCom in Accounting.;;;;;;;;;;
3;Higher Certificate in Entrepreneurship;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Covers business planning; entrepreneurship principles; small business management.;;;;;;;;;;
4;Higher Certificate in Management for Estate Agents;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Tailored for real estate professionals. Covers property law; estate agency management; valuation principles.;;;;;;;;;;
5;Higher Certificate in Marketing Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Covers marketing strategies; consumer behaviour; brand management.;;;;;;;;;;
6;Higher Certificate in Retail Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Covers retail operations; customer relations; supply chain basics; merchandising.;;;;;;;;;
7;Higher Certificate in Supply Chain Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Covers procurement; logistics; inventory management; supply chain fundamentals.;;;;;;;;;
8;Higher Certificate in Healthcare Services Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Health and Business;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Intended for healthcare practitioners (nurses; medical staff; physiotherapists; optometrists) and non-medical persons pursuing management careers in healthcare.;;;;;;;;;
9;Higher Certificate in Human Resource Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Covers HR strategies; labour relations; recruitment; employee development.;;;;;;;;;
10;Higher Certificate in Islamic Finance Banking and Law;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Law;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Covers Islamic banking; Takaful; Sukuk bonds; Shariah law; comparison with conventional banking. Open to all religions.;;;;;;;;
11;Higher Certificate in Project Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with HC admission. RPL available. Covers project management fundamentals; team leadership; risk management.;;;;;;;;;;
12;Advanced Certificate in Management;Advanced Certificate;6;Diploma pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NQF Level 6 qualification. Listed under Regent's Higher Certificate category but is an Advanced Certificate. RPL available. Suitable for working professionals seeking to formalise management knowledge.;;;;;;;;;;;;
13;Diploma in Financial Management;Diploma;6;Diploma pass;30;;;;;Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No specific Maths % requirement. English 30%. NSC with Diploma pass. RPL available. 3-year programme. Covers financial management; financial reporting; budgeting; business finance.;;;;;;;;;
14;Diploma in Public Relations Management;Diploma;6;Diploma pass;30;;;;;Business and Communication;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with Diploma pass. RPL available. 3-year programme. Covers PR strategy; media relations; corporate communication; stakeholder management.;;;;;;;;;
15;Bachelor of Commerce;Bachelor;7;Bachelor's pass;30;;;;;Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning; Contact Learning";No specific Maths % required. English 30%. NSC with Bachelor's pass. RPL available. 13 elective focus areas: Business Management; Business Intelligence; Digital Marketing; Economics; Entrepreneurship; Finance; HR Management; International Business; IT Management; Leadership; Logistics and Supply Chain; Marketing; Public Sector Management. Regent uses endorsement system — not points-based.
16;Bachelor of Commerce in Accounting;Bachelor;7;Bachelor's pass;30;40;;;; Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning; Contact Learning";SAICA-endorsed. Pure Maths required at 40% minimum (E symbol equivalent — Level 3). Maths Literacy and Technical Maths not mentioned as acceptable alternatives. English 30%. NSC with Bachelor's pass. RPL available. Pathway into PGD in Accounting (CTA/CA(SA) route). 3-year programme.;;;;;;;;;;;;
17;Bachelor of Business Administration;Bachelor;7;Bachelor's pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning; Contact Learning";No Maths requirement. English 30%. NSC with Bachelor's pass. RPL available. 3-year programme. All three Maths types accepted. Broad business degree covering management; finance; HR; operations; entrepreneurship.;;;;;;;;
18;Bachelor of Commerce in Human Resource Management;Bachelor;7;Bachelor's pass;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with Bachelor's pass. RPL available. 3-year programme. Covers labour law; recruitment; training and development; organisational behaviour.;;;;;;;;;
19;Bachelor of Commerce in Law;Bachelor;7;Bachelor's pass;30;;;;;Law and Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning; Contact Learning";No Maths requirement. English 30%. NSC with Bachelor's pass. RPL available. 3-year programme. Covers commercial law; contract law; company law; business regulation. Pathway into LLB.;;;;;;;;;
20;Bachelor of Public Administration;Bachelor;7;Bachelor's pass;30;;;;;Public Administration;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with Bachelor's pass. RPL available. 3-year programme. Covers public management; governance; local government; public finance; policy analysis. Ideal for public sector employees.;;;;;;;;
21;Bachelor of Commerce in Retail Management;Bachelor;7;Bachelor's pass;30;;;;;Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with Bachelor's pass. RPL available. 3-year programme. Covers retail operations; consumer behaviour; buying and merchandising; supply chain; national and international retail context.;;;;;;;;
22;Bachelor of Commerce in Supply Chain Management;Bachelor;7;Bachelor's pass;30;;;;;Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. English 30%. NSC with Bachelor's pass. RPL available. 3-year programme. Covers procurement; logistics; warehousing; supply chain strategy; operations management.;;;;;;;;
23;Advanced Diploma in Management;Advanced Diploma;7;Diploma pass or equivalent NQF 6;30;;;;;Business and Management;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. Requires a completed relevant NQF 6 qualification (Diploma or HC) or relevant work experience via RPL. FSCA recognised. 1-year programme. Covers strategic management; leadership; organisational behaviour; management principles.;;;;;;;;;
24;Advanced Diploma in Financial Management;Advanced Diploma;7;Diploma pass or equivalent NQF 6;30;;;;;Commerce;"Durban; Johannesburg; Cape Town; East London; Pretoria; Namibia; Eswatini";"Distance Learning; Rich Distance Learning";No Maths requirement. Requires a completed relevant NQF 6 qualification or relevant work experience via RPL. 1-year programme. Covers financial management; investment management; financial reporting; leadership in finance environments.;;;;;;;;;
