row_id;Programme Name;Qualification Type;NQF Level;NSC Pass Type Required;Min_English_%;Min_Mathematics_%;Min_MathsLiteracy_%;Min_TechnicalMaths_%;Other_Required_Subjects;Faculty;Campuses;Study Modes;Notes
1;IIE Higher Certificate in Business Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into BCom and BBA degrees. RPL and mature age exemption available.
2;IIE Higher Certificate in Bookkeeping;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Finance and Accounting;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into Bachelor of Accounting and related commerce degrees.
3;IIE Higher Certificate in Business Principles and Practice;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into BCom and BBA degrees.
4;IIE Higher Certificate in Legal Studies;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Law;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into BA in Law and BCom in Law.
5;IIE Higher Certificate in Communication Practice;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Humanities and Social Science;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into BA and Bachelor of Social Science degrees.
6;IIE Higher Certificate in Early Childhood Care and Education;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Education;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Language proficiency may be assessed. Gateway into BEd Foundation Phase Teaching.
7;IIE Higher Certificate in IT in Support Services;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Information and Communications Technology;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into ICT diplomas and degrees.
8;IIE Higher Certificate in Construction and Engineering Drafting;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Information and Communications Technology;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Pretoria";Contact Full-Time;No specific Maths requirement. Technical drawing and computer-aided drafting focus. Not available at all campuses.
9;IIE Higher Certificate in Human Resource Practices;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into BCom and BBA degrees.
10;IIE Higher Certificate in Logistics and Supply Chain Management;Higher Certificate;5;Higher Certificate pass;30;;;;;Faculty of Commerce;"Bloemfontein; Braamfontein (JHB); Cape Town; Durban; Mbombela; Polokwane; Pretoria";"Contact Full-Time; Online";No specific Maths requirement. Gateway into BBA in Logistics & Supply Chain Management.
