Faculty;Programme Name;APS Requirement;Subject Requirements;Page Number
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Economics [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Law [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Statistics and Data Science [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Information Systems [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Agribusiness Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Business Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Supply Chain Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Marketing Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;7
Faculty of Economic and Management Sciences;Bachelor of Administration specialising in Public Administration [3 years];28;English Home Language OR English First Additional Language OR English 5 AND Mathematics 3 OR Mathematical Literacy 4;7
Faculty of Economic and Management Sciences;Bachelor of Commerce in Accounting Sciences [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Investment Management [3 years];34;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Financial Management Sciences [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 5;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Econometrics [3 years];32;English Home Language OR English First Additional Language OR English 5 AND Mathematics 6;7
Faculty of Economic and Management Sciences;Bachelor of Commerce specialising in Human Resource Management [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;8
Faculty of Economic and Management Sciences;Bachelor of Commerce [3 years];30;English Home Language OR English First Additional Language OR English 5 AND Mathematics 4;8
Faculty of Economic and Management Sciences;Bachelor of Commerce [4 years];26;English Home Language OR English First Additional Language OR English 4 AND Mathematics 3;8
Faculty of Education;Bachelor of Education in Early Childhood Care and Education [4 years];28;English Home Language OR English First Additional Language OR English 4;8
Faculty of Education;Bachelor of Education in Foundation Phase Teaching [Grade R to Grade 3] [4 years];28;English Home Language OR English First Additional Language OR English 4;8
Faculty of Education;Bachelor of Education in Intermediate Phase Teaching [Grades 4 to 6] [4 years];28;English Home Language OR English First Additional Language OR English 4;8
