row_id;Programme Name;Qualification Type;APS Requirement;Required Subjects;Faculty;Campus;Page Number
1;Bachelor of Social Work;Bachelor;Minimum of 34 UWC points;"English (home lang) Code 4 OR English (first additional language) Code 5; Another lang (home or first additional) Code 4; Maths Code 3 OR Maths Literacy Code 4";Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
2;Bachelor of Community Development;Bachelor;Minimum of 30 UWC points;Maths Code 3 OR Maths Literacy Code 4;Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
3;BA Sport, Recreation and Exercise Science;BA;Minimum of 30 UWC points;Maths Code 3 OR Maths Literacy Code 4;Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
4;BSc Dietetics and Nutrition;BSc;Minimum of 33 UWC points;"Maths Code 4 OR Maths Literacy Code 6; Life Sciences Code 4";Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
5;BSc Sport and Exercise Science;BSc;Minimum of 33 UWC points;"Maths Code 4 OR Maths Literacy Code 6; Life Sciences Code 4";Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
6;BSc Occupational Therapy;BSc;Minimum of 33 UWC points;"Maths Code 3 OR Maths Literacy Code 5; Life Sciences Code 4";Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
7;BSc Physiotherapy;BSc;Minimum of 39 UWC points;"Maths Code 4 OR Maths Literacy Code 6; Life Sciences Code 4 AND Physical Sciences Code 4";Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
8;B Nursing and Midwifery;Bachelor;Minimum of 30 UWC points;"Maths Code 4 OR Maths Literacy Code 6; Life Sciences Code 4";Faculty of Community and Health Sciences;"Main Campus; Bellville CBD Campus";2
9;BAdmin;Bachelor;Minimum of 30 UWC points;Maths Code 3 OR Maths Literacy Code 5;Faculty of Economic and Management Sciences;;2
10;BCom;Bachelor;Minimum of 30 UWC points;Maths Code 4;Faculty of Economic and Management Sciences;;2
11;BCom Financial Accounting;Bachelor;Minimum of 30 UWC points;Maths Code 4;Faculty of Economic and Management Sciences;;2
12;BCom Information Systems;Bachelor;Minimum of 30 UWC points;Maths Code 4;Faculty of Economic and Management Sciences;;2
13;BCom Accounting (3yrs);Bachelor;Minimum of 30 UWC points;Maths Code 4 AND Accounting Code 5 (not required if an applicant has Mathematics Code 5);Faculty of Economic and Management Sciences;;2
