Faculty/College;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection/Access_Extended;Special_Notes;Source
APS NOTE;"CUT uses the standard NSC 7-point achievement level scale: L7=80-100%; L6=70-79%; L5=60-69%; L4=50-59%; L3=40-49%; L2=30-39%; L1=0-29%. Life Orientation is capped at 1 point in APS. Minimum APS to study at CUT is 27 for most programmes. Applicants scoring 24-26 may be eligible for a selection test but admission is not guaranteed if the programme is full. Qualification durations: NQF5 = 1yr; NQF6 = 2yrs; NQF7 = 3yrs; NQF8 = 4yrs. Campuses: Bloemfontein (main) and Welkom. Applications close 30 September. LO is capped at 1 point and excluded from most science calculations.";;;;;;;;;;;;;;;;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Higher Certificate in Information Technology;;;5;Higher Certificate;1;Bloemfontein;27;Level 4 (50%+);Level 3 (40%+);Yes - Level 6 (70%+) MathLit;;;Life Orientation Level 4 (50%+) compulsory;No;MathLit accepted but at high level (L6). Maths minimum L3. LO compulsory at L4. Leads to NQF6 Diploma in IT pathway.;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Diploma in Information Technology;;;6;Diploma;2;Bloemfontein;27;Level 4 (50%+);Level 3 (40%+);Yes - Level 6 (70%+) MathLit;;;"Life Orientation Level 4 (50%+) compulsory; Information Technology Level 3 (40%+) compulsory";No;MathLit accepted at L6. LO and IT both compulsory. Continued from HC in IT (NQF5).;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Diploma in Computer Networking;;;6;Diploma;2;Bloemfontein;27;Level 4 (50%+);Level 3 (40%+);Yes - Level 6 (70%+) MathLit;;;"Life Orientation Level 4 (50%+) compulsory; Information Technology Level 3 (40%+) compulsory";No;MathLit accepted at L6. LO and IT compulsory. Advanced Diploma (NQF7) in Computer Networking available as postgraduate pathway.;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Higher Certificate in Construction;;;5;Higher Certificate;1;Bloemfontein / Welkom;27;Not specified in table;Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;MathLit not accepted. Maths and Physical Sciences compulsory at L4. English level not specified in source table. 1-year entry programme into built environment.;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Higher Certificate in Renewable Energy Technologies;;;5;Higher Certificate;1;Bloemfontein / Welkom;27;Not specified in table;Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;MathLit not accepted. Maths and Physical Sciences compulsory at L4. 1-year higher certificate.;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Construction Management;;;7;Bachelor's Degree;3;Bloemfontein;32;Level 5 (60%+);Level 5 (60%+);Not accepted;;Level 5 (60%+) Physical Sciences - compulsory;No other subjects specified;No;"MathLit not accepted. Maths; Physical Sciences and English all at L5 (60%+). High entry requirements. Postgraduate Diploma and Masters available.";https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Health and Safety Management (Construction);;;7;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%+);Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;Life Orientation Level 4 (50%+) compulsory;No;"MathLit not accepted. Maths; Physical Sciences; English and LO all required at L4. Built environment health and safety specialisation.";https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Diploma in Civil Engineering;;;6;Diploma;2;Bloemfontein;32;Level 4 (50%+);Level 4 (50%+);Yes - Level 4 (50%+) MathLit;;Level 4 (50%+) Physical Sciences - compulsory;Life Orientation Level 4 (50%+) compulsory;No;MathLit accepted at L4 (same level as Maths). Physical Sciences and LO compulsory at L4. APS 32 - higher than many NQF6 diplomas.;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Civil Engineering Technology;;;7;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%+);Level 4 (50%+);Yes - Level 4 (50%+) MathLit;;Level 4 (50%+) Physical Sciences - compulsory;Life Orientation Level 4 (50%+) compulsory;No;"MathLit accepted at L4. Physical Sciences and LO compulsory at L4. Honours; Masters and Doctorate pathways available.";https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Quantity Surveying;;;7;Bachelor's Degree;3;Bloemfontein;32;Level 4 (50%+);Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;"All APS subjects must be at L4+: Life Sciences; LO; Language; Accounting; Agricultural Sciences; Economics; Business Studies; IT";No;MathLit not accepted. Broad multi-subject requirements at L4. Any subject contributing to APS must be at minimum L4. PGDip in Quantity Surveying available.;https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Bachelor of Hydrology and Water Resources Management;;;7;Bachelor's Degree;3;Bloemfontein;28;Level 4 (50%+);Level 4 (50%+);Not accepted;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;"MathLit not accepted. Maths; Physical Sciences; Life Sciences and English all compulsory at L4. Lower APS (28) vs other Bachelor's in this faculty.";https://www.cut.ac.za/programmes-offered
Faculty of Engineering, Built Environment and Information Technology;Diploma in Electrical Engineering Technology;;;6;Diploma;2;Bloemfontein;27;Level 4 (50%+);Level 4 (50%+);Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;No other subjects specified;No;"MathLit not accepted. Maths; Physical Sciences and English compulsory at L4. APS 27. Bachelor's pathway available (APS 32).";https://www.cut.ac.za/programmes-offered
