Faculty/College;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection/Access_Extended;Special_Notes;Source
APS NOTE;"MUT (Mangosuthu University of Technology) uses the standard NSC 7-point achievement level scale: L8=90-100%; L7=80-89%; L6=70-79%; L5=60-69%; L4=50-59%; L3=40-49%; L2=30-39%; L1=0-29%. APS is calculated from the best 6 subjects presented. Life Orientation is considered a non-curriculum subject (excluded from APS). Minimum entrance requirements: NSC with Diploma pass (or N3 with 50% in Maths and English); minimum 6 subjects at L4 for Diploma study; L3 for Access/Bridging courses; English HL or FAL at L4. Meeting minimum requirements does NOT guarantee acceptance - competition is keen with over 40 000 applications per year. Some departments administer a compulsory entrance test. Apply via CAO (www.cao.ac.za); R110 CAO application fee. Closing dates: Engineering 1st semester = 30 Sept; Engineering 2nd semester = 31 May; Natural Sciences = 30 Sept; Management Sciences = 30 Sept. Two campuses in Umlazi: Main Campus (Engineering and Management Sciences) and Natural Sciences Campus. BSc Environmental Health and BHSc-MLS require a Bachelor pass (not just Diploma pass). MathLit note: Engineering programmes do not list MathLit as an accepted alternative - Maths required. Source is 2023 prospectus.";;;;;;;;;;;;;;;;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Diploma in Chemical Engineering;MN-M-CE3;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English First Additional Language;Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;"MathLit not accepted - only Maths specified. Maths, Physical Sciences and English FAL all compulsory at L4. No composite APS total stated; departmental screening process applies. Bridging programme available (see separate row).";https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Diploma in Civil Engineering;MN-M-CV3;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English First Additional Language;Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;"MathLit not accepted. Maths, Physical Sciences and English FAL all compulsory at L4. No composite APS total; departmental screening applies. Bridging programme available (see separate row).";https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Diploma in Surveying;MN-M-SV3;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English First Additional Language;Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Maths, Physical Sciences and English FAL all compulsory at L4. Students qualify as surveyors able to prepare maps and set out structures. Bridging programme available.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Diploma in Building (Construction Management and Quantity Surveying);MN-M-BU3;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English First Additional Language;Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Students specialise in either Construction Management or Quantity Surveying after completing core programme. Bridging programme available.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Diploma in Electrical Engineering;MN-M-EE5;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English First Additional Language;Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;MathLit not accepted. Covers electrical power generation and distribution, process control, and electronic communication environments. Bridging programme available.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Diploma in Mechanical Engineering;MN-M-ME3;;6;Diploma;3;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English First Additional Language;Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;Engineering Graphics and Design Level 4 (50%+) compulsory - unique to Mechanical Engineering;No;MathLit not accepted. Only Engineering programme requiring Engineering Graphics and Design (L4). Maths, Physical Sciences, Engineering Graphics and English FAL all at L4. Bridging programme available.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Engineering Bridging Programme: Chemical Engineering;MN-M-CEB;;5;Higher Certificate / Bridging;0.5;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 3 (40%+) English FAL;Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;6-month bridging programme for students who do not meet full Diploma requirements. All compulsory subjects at L3 vs L4 for mainstream Diploma. Prepares students to enter the Chemical Engineering Diploma.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Engineering Bridging Programme: Civil Engineering;MN-M-CVB;;5;Higher Certificate / Bridging;0.5;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 3 (40%+) English FAL;Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;6-month bridging programme. Subjects at L3. English HL L4 OR FAL L3 accepted. Prepares students for Civil Engineering Diploma.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
Faculty of Engineering;Engineering Bridging Programme: Electrical Engineering;MN-M-EEB;;5;Higher Certificate / Bridging;0.5;Umlazi (Main Campus);Not specified as composite APS - see subject levels;Level 4 (50%+) English HL OR Level 3 (40%+) English FAL;Level 3 (40%+) Maths - PURE Maths only;Not accepted;;Level 3 (40%+) Physical Sciences - compulsory;;Access/Extended;6-month bridging programme. Subjects at L3. Prepares students for Electrical Engineering Diploma.;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf
