Programme;AS_Mathematics;AS_Technical_Mathematics;AS_Mathematical_Literacy;Subject_Requirements
HCERT (ACCOUNTANCY);290;290;305;Maths or Tech Maths: 35% | Math Lit: 60%
HCERT (BUSINESS STUDIES);290;290;305;Maths or Tech Maths: 30% | Math Lit: 50%
DIP (ACCOUNTANCY);350;350;365;Maths or Tech Maths: 45% | Math Lit: 65%
DIP (ECONOMICS);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
DIP (ECONOMICS) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
DIP (HUMAN RESOURCE MANAGEMENT);330;330;345;Maths or Tech Maths: 35% | Math Lit: 55%
DIP (HUMAN RESOURCE MANAGEMENT) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 30% | Math Lit: 50%
DIP (INVENTORY & STORES MANAGEMENT);290;290;305;Maths or Tech Maths: 30% | Math Lit: 50%
DIP (LOGISTICS);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
DIP (LOGISTICS) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
DIP (MANAGEMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
DIP (MANAGEMENT) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
DIP (MARKETING);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
DIP (MARKETING) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
DIP (TOURISM MANAGEMENT);330;330;345;Maths or Tech Maths: 40% | Math Lit: 60%
DIP (TOURISM MANAGEMENT) – EXTENDED CURRICULUM;310;310;325;Maths or Tech Maths: 35% | Math Lit: 55%
ADVANCED DIPLOMA (ECONOMICS);–;–;–;Requires: 360-credit Diploma in Economics or bachelor's degree with 50%+ in core Economics modules
ADVANCED DIPLOMA (BUSINESS STUDIES: HUMAN RESOURCE MANAGEMENT);–;–;–;Requires: relevant 360-credit Diploma in HRM
ADVANCED DIPLOMA (BUSINESS STUDIES: LOGISTICS MANAGEMENT);–;–;–;Requires: relevant 360-credit Diploma in Logistics
ADVANCED DIPLOMA (BUSINESS STUDIES: MANAGEMENT PRACTICE);–;–;–;Requires: relevant 360-credit Diploma in Management
ADVANCED DIPLOMA (BUSINESS STUDIES: MARKETING MANAGEMENT);–;–;–;Requires: relevant 360-credit Diploma in Marketing
ADVANCED DIPLOMA (BUSINESS STUDIES: TOURISM MANAGEMENT);–;–;–;Requires: relevant 360-credit Diploma in Tourism
ADVANCED DIPLOMA (BUSINESS STUDIES: MONITORING & EVALUATION);–;–;–;Requires: relevant 360-credit Diploma + public sector employment or 3 years public sector experience
ADVANCED DIPLOMA (BUSINESS STUDIES: FINANCIAL PLANNING AND SERVICES);–;–;–;Requires: relevant 360-credit Diploma with major in Business/Economics/Financial Accounting/Internal Auditing/Management Accounting/Administrative Management
ADVANCED DIPLOMA: ACCOUNTANCY (PROFESSIONAL ACCOUNTING);–;–;–;Requires: 360-credit Diploma in Accountancy or equivalent NQF Exit Level 6 qualification
ADVANCED DIPLOMA: ACCOUNTANCY (INTERNAL AUDITING);–;–;–;Requires: 360-credit Diploma in Accountancy or equivalent NQF Exit Level 6 qualification
BCOM: GENERAL (ECONOMICS);390;–;–;Maths: 50%
BCOM: GENERAL (ECONOMICS) – EXTENDED CURRICULUM;370;–;–;Maths: 45%
BCOM: GENERAL (ACCOUNTING);390;–;–;Maths: 50%
BCOM: GENERAL (ACCOUNTING) – EXTENDED CURRICULUM;370;–;–;Maths: 45%
BCOM: GENERAL (BUSINESS MANAGEMENT);390;–;–;Maths: 50%
BCOM: GENERAL (BUSINESS MANAGEMENT) – EXTENDED CURRICULUM;370;–;–;Maths: 45%
BCOM (FINANCIAL PLANNING);390;–;–;Maths: 50%
BCOM (FINANCIAL PLANNING) – EXTENDED CURRICULUM;370;–;–;Maths: 45%
BCOM: GENERAL (TOURISM);390;390;405;Maths or Tech Maths: 50% | Math Lit: 70%
BCOM: GENERAL (TOURISM) – EXTENDED CURRICULUM;370;370;385;Maths or Tech Maths: 45% | Math Lit: 65%
BCOM (MARKETING & BUSINESS MANAGEMENT);390;–;–;Maths: 50%
BCOM (HOSPITALITY MANAGEMENT);390;390;405;Maths or Tech Maths: 50% | Math Lit: 70%
BCOM: GENERAL (STATISTICS);390;–;–;Maths: 60%
BCOM (ACCOUNTING);410;–;–;Maths: 60%
BCOM (COMPUTER SCIENCE & INFORMATION SYSTEMS);390;–;–;Maths: 60%
BCOM (ECONOMICS & STATISTICS);390;–;–;Maths: 60%
BCOM (INDUSTRIAL PSYCHOLOGY & HUMAN RESOURCE MANAGEMENT);390;–;–;Maths: 50%
BCOM (INFORMATION SYSTEMS: BUSINESS MANAGEMENT);390;–;–;Maths: 60%
BCOM (LOGISTICS & TRANSPORT ECONOMICS);390;–;–;Maths: 50%
BCOM (FOOD SERVICE MANAGEMENT);390;–;–;Maths: 50%
BCOM: ACCOUNTING SCIENCE (ECONOMICS / BUSINESS MANAGEMENT);410;–;–;Maths: 65%
BCOM: ACCOUNTING SCIENCE (LAW);410;–;–;Maths: 65% | English Home: 65% | English First Add: 70%
BCOM: ACCOUNTING SCIENCE (COMPUTER SCIENCE & INFORMATION SYSTEMS);410;–;–;Maths: 65%
BA (HUMAN RESOURCE MANAGEMENT);350;350;365;Maths or Tech Maths: 40% | Math Lit: 70%
BA (DEVELOPMENT STUDIES);350;350;365;Maths or Tech Maths: 40% | Math Lit: 70%
BED (FOUNDATION PHASE: GRADES R-3);350;365;365;Maths: 45% | Tech Maths or Math Lit: 60% | English: 50% (Home or First Add) | Afrikaans or isiXhosa: 50%
