Faculty/College;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection/Access_Extended;Special_Notes;Source
APS NOTE;"SMU (Sefako Makgatho Health Sciences University) uses the standard NSC 7-point achievement level scale: L7=80-100%; L6=70-79%; L5=60-69%; L4=50-59%; L3=40-49%; L2=30-39%; L1=0-29%. Life Orientation is included in APS calculations. APS is calculated from ALL subjects presented (not best 6 only - the LO score is included). Meeting minimum requirements does NOT guarantee admission - SMU receives far more applications than available spaces and selection is highly competitive. Pre-selection is done Sept-Oct using Grade 11 results; final selection is in January after NSC release. Applications open 1 April 2025; closing date for 2026 entry is 31 July 2025. Application fee: R300 non-refundable (Standard Bank, acc 071 244 395, branch 020 909, use ID as reference). Apply online at www.smu.ac.za. Maximum of 2 programme choices per application. BSc and BSc-ECP note: multiple majors/streams available within the BSc qualification; APS requirements slightly differ between BSc mainstream and BSc-ECP. Source: 2025/2026 Prospectus.";;;;;;;;;;;;;;;;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Medicine;Bachelor of Medicine and Bachelor of Surgery (MBChB);;;8;Bachelor's Degree (Professional);6;Ga-Rankuwa (Pretoria North);38;Level 6 (70%+);Level 6 (70%+) Pure Maths only;Not accepted;Level 6 (70%+);Level 6 (70%+);"Additional Subject 1: Level 5 (60%+); Additional Subject 2: Level 4 (50%+); Life Orientation: Level 5 (60%+)";Selection - highly competitive;MathLit not accepted. APS 38 is the minimum - actual admission levels are much higher. All core sciences at L6. LO required at L5. Duration 6 years minimum, 8 years maximum. Can specialise in various medical disciplines post-graduation. See https://www.smu.ac.za/schools/medicine/medicine-undergraduate-admission-requirements/;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Medicine;MBChB Extended Curriculum Programme (MBChB-ECP);;;8;Bachelor's Degree (Professional);7;Ga-Rankuwa (Pretoria North);32;Level 5 (60%+);Level 5 (60%+) Pure Maths only;Not accepted;Level 5 (60%+);Level 5 (60%+);"Additional Subject 1: Level 4 (50%+); Additional Subject 2: Level 4 (50%+); Life Orientation: Level 4 (50%+)";Selection - restricted eligibility;RESTRICTED: Reserved exclusively for South African Black learners from Quintile 1 and 2 schools who have NOT previously been in tertiary education AND who did not qualify for the standard MBChB. Only 50 spaces available competitively. After 1-year foundation programme, students enter mainstream MBChB. MathLit not accepted.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Medicine;Diploma in Emergency Medical Care (DIP EMC);;;6;Diploma;2;Ga-Rankuwa (Pretoria North);18;Level 3 (40%+);Level 3 (40%+);Not accepted;Level 3 (40%+);Level 3 (40%+);"Additional Subject 1: Level 3 (40%+); Additional Subject 2: Level 3 (40%+)";Selection - Medical and Physical Fitness Evaluations required;All 6 subjects at L3. APS 18 minimum from NSC Diploma endorsement. Applicants must pass both Medical Fitness AND Physical Fitness Evaluations compulsorily. National Certificate applicants need 60%+ in Eng/Maths/Life Sciences/Physical Sciences. Leads to HPCSA registration as Paramedic. 2-year programme.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Medicine;Higher Certificate in Emergency Medical Care (HCERT EMC);;;5;Higher Certificate;1;Ga-Rankuwa (Pretoria North);15;Level 3 (40%+);Level 3 (40%+);Yes - Level 4 (50%+) MathLit;Level 3 (40%+) - and/or Physical Sciences;Level 3 (40%+) - and/or Life Sciences;"Additional Subject 1: Level 3 (40%+); Additional Subject 2: Level 3 (40%+)";Selection - Medical and Physical Fitness Evaluations required;MathLit accepted at L4 (vs Maths L3). Life Sciences and/or Physical Sciences at L3 - either or both accepted. NSC Higher Certificate endorsement required. APS 15 from all subjects. Must pass Medical Fitness AND Physical Fitness Evaluations. 1-year entry-level programme. Leads to HPCSA registration as Emergency Care Assistant (ECA). Pathway to Diploma in EMC and Bachelor's in EMC.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Dentistry;Bachelor of Dental Surgery (BDS);;;8;Bachelor's Degree (Professional);5;Ga-Rankuwa (Pretoria North);37;Level 5 (60%+);Level 6 (70%+);Not accepted;Level 6 (70%+);Level 6 (70%+);"Additional Subject 1: Level 5 (60%+); Additional Subject 2: Level 4 (50%+); Life Orientation: Level 5 (60%+)";Selection - highly competitive;MathLit not accepted. Second highest APS at SMU after MBChB. Core sciences at L6. English at L5. 5-year professional degree. Post-qualification specialisation in oral surgery, orthodontics, periodontology, prosthodontics, community dentistry etc. Contact School of Dentistry: 012 521 4803.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Dentistry;Bachelor of Dental Therapy (BDT);;;7;Bachelor's Degree;3;Ga-Rankuwa (Pretoria North);28;Level 4 (50%+);Level 4 (50%+);Not accepted;Level 4 (50%+);Level 4 (50%+);"Two additional subjects each at Level 4 (50%+); Life Orientation: Level 4 (50%+)";Selection;MathLit not accepted. All subjects at L4 including LO. APS 28. 3-year degree. Dental Therapists perform basic procedures: extractions, cleaning, polishing, X-rays. Can work in private practice, public dental services and academic dentistry. Contact School of Dentistry: 012 521 4803.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Dentistry;Bachelor of Oral Hygiene (BOH) - with Maths;;;7;Bachelor's Degree;3;Ga-Rankuwa (Pretoria North);28;Level 4 (50%+);Level 4 (50%+);Not applicable (Maths route);Level 4 (50%+);Level 4 (50%+);"Two additional subjects each at Level 4 (50%+); Life Orientation: Level 4 (50%+)";Selection;Pure Maths route: APS 28. All subjects at L4. 3-year degree. Oral Hygienists clean and polish teeth, take X-rays, perform preventative procedures. Can work in private practice, public dental services and academic dentistry. Contact: 012 521 4803.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Dentistry;Bachelor of Oral Hygiene (BOH) - with MathLit;;;7;Bachelor's Degree;3;Ga-Rankuwa (Pretoria North);31;Level 4 (50%+);Not required (MathLit route);Yes - Level 7 (80%+) MathLit;Level 4 (50%+);Level 4 (50%+);"Two additional subjects each at Level 4 (50%+); Life Orientation: Level 4 (50%+)";Selection;MathLit accepted but at very high level L7 (80%+). APS is higher (31 vs 28 with Maths) because MathLit at L7 = 7 points. All science and English subjects still at L4. Same 3-year degree and career path as BOH with Maths route. Contact: 012 521 4803.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Pharmacy;Bachelor of Pharmacy (BPharm);;;8;Bachelor's Degree (Professional);4;Ga-Rankuwa (Pretoria North);32;Level 5 (60%+);Level 5 (60%+);Not accepted;Level 5 (60%+);Level 5 (60%+);"Additional Subject 1: Level 4 (50%+) - preferably Accounting; Additional Subject 2: Level 4 (50%+) - preferably Economics; Life Orientation: Level 4 (50%+)";Selection - Student Selection Committee screens all applicants;"MathLit not accepted. All core sciences and English at L5. Accounting and Economics preferred as additional subjects. 4-year programme. After qualification: 1 year internship + 1 year community service before full SAPC registration. Online Higher Certificate in Vaccinology available as a separate post-qualification short learning programme. Selection is competitive; limited places; must indicate BPharm as first choice.";https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
School of Pharmacy;Online Higher Certificate in Vaccinology (HCERT Vacc);SCV01;;5;Higher Certificate;1;Ga-Rankuwa (Pretoria North);Not applicable - requires prior health qualification;Not applicable - requires prior health qualification;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Selection - motivation letter required;NOT a school-leaver programme. Entry requirement: Registered General Nurse and Midwife with SANC OR 3-year health sciences qualification from HPCSA-registered institution. Priority to in-service HCWs working in vaccination. Online programme (Blackboard). 2 blocks, 11 modules, 120 credits. Funding available. Contact: Nontobeko Shabangu nontobeko.shabangu@smu.ac.za 012 521 4044.;https://www.smu.ac.za/wp-content/uploads/2025/04/SMu-Prospectus-2025_2026.pdf
