Faculty;Programme;Minimum APS;APS_Mathematics;APS_Mathematical_Literacy;APS _Technical_Mathematics;English_Level;Mathematics_Level;Additional_Requirements;Source_Page
Art, Design and Architecture;B ARCHITECTURE;30;;;;5;5;Math_Lit_Level: Not accepted | Tech_Math_Level: Not accepted;32
Art, Design and Architecture;BA (COMMUNICATION DESIGN);;25;26;;5;3;Math_Lit_Level: 4 | Tech_Math_Level: Not accepted;32
Art, Design and Architecture;BA (DIGITAL MEDIA DESIGN);;25;26;;5;3;Math_Lit_Level: 4 | Tech_Math_Level: Not accepted;32
Art, Design and Architecture;BA (INDUSTRIAL DESIGN);;25;26;;5;4;Math_Lit_Level: 5 | Tech_Math_Level: Not accepted;32
Art, Design and Architecture;BA (INTERIOR DESIGN);;25;26;;5;4;Math_Lit_Level: 5 | Tech_Math_Level: Not accepted;33
Art, Design and Architecture;BA (FASHION DESIGN);;25;26;;5;4;Math_Lit_Level: 5 | Tech_Math_Level: Not accepted;33
Art, Design and Architecture;BA (VISUAL ART) ✪;;25;26;;5;3;Math_Lit_Level: 4 | Note: International admission may be exempt from maths/maths literacy requirement (BA Visual Art);33
Art, Design and Architecture;ARCHITECTURE;;25;;26;5;4;Math_Lit_Level: Not accepted;34
Art, Design and Architecture;FASHION PRODUCTION;;22;23;;5;3;Math_Lit_Level: 4 | Tech_Math_Level: Not accepted;34
Art, Design and Architecture;JEWELLERY DESIGN AND MANUFACTURE;;20;21;22;5;3;Math_Lit_Level: 4;34
College of Business and Economics;ACCOUNTING (CA);33;;;;4;5;;40
College of Business and Economics;HOSPITALITY MANAGEMENT;;26;28;26;5;4;Math_Lit_Level: 5;40
College of Business and Economics;HUMAN RESOURCE MANAGEMENT;;28;28;28;4;4;Math_Lit_Level: 5;40
College of Business and Economics;TOURISM DEVELOPMENT AND MANAGEMENT;;26;28;26;5;3;Math_Lit_Level: 4;40
College of Business and Economics;PUBLIC MANAGEMENT AND GOVERNANCE;;26;28;26;5;3;Math_Lit_Level: 5;41
College of Business and Economics;ACCOUNTING;28;;;;4;4;;41
College of Business and Economics;BUSINESS MANAGEMENT;26;;;;4;4;;41
College of Business and Economics;ECONOMICS AND ECONOMETRICS;28;;;;4;4;;41
College of Business and Economics;ENTREPRENEURIAL MANAGEMENT;26;;;;4;4;;41
College of Business and Economics;FINANCE;28;;;;4;4;;41
College of Business and Economics;INDUSTRIAL PSYCHOLOGY;;26;28;26;4;4;Math_Lit_Level: 5;41
College of Business and Economics;INFORMATION MANAGEMENT;;;28;;4;4;Math_Lit_Level: 6;42
College of Business and Economics;INFORMATION SYSTEMS;26;;;;4;4;;42
College of Business and Economics;MARKETING MANAGEMENT;26;;;;4;4;;42
College of Business and Economics;TRANSPORT AND LOGISTICS MANAGEMENT;27;;;;5;4;;42
College of Business and Economics;ACCOUNTING;;25;25;;4;3;Math_Lit_Level: 6;43
College of Business and Economics;BUSINESS MANAGEMENT;;25;28;25;4;3;Math_Lit_Level: 6;43
College of Business and Economics;ECONOMICS AND ECONOMETRICS;;25;28;;4;3;Math_Lit_Level: 6;43
College of Business and Economics;FINANCE;;25;28;;4;3;Math_Lit_Level: 6;43
College of Business and Economics;ACCOUNTANCY *;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;44
College of Business and Economics;BUSINESS INFORMATION TECHNOLOGY;;22;24;22;4;3;Math_Lit_Level: 6 | Tech_Math_Level: 3;44
College of Business and Economics;FINANCIAL SERVICES OPERATIONS *;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;44
College of Business and Economics;FOOD AND BEVERAGE OPERATIONS;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;44
College of Business and Economics;LOGISTICS;;24;26;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;45
College of Business and Economics;MARKETING **;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;45
College of Business and Economics;PEOPLE MANAGEMENT;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;45
College of Business and Economics;RETAIL BUSINESS MANAGEMENT **;;22;22;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;46
College of Business and Economics;SMALL BUSINESS MANAGEMENT ***;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;46
College of Business and Economics;TOURISM MANAGEMENT;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;46
College of Business and Economics;TRANSPORTATION MANAGEMENT;;24;26;24;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;46
College of Business and Economics;LOGISTICS;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;46
College of Business and Economics;PEOPLE MANAGEMENT;;19;21;19;4;3;Math_Lit_Level: 4 | Tech_Math_Level: 3;46
College of Business and Economics;SMALL BUSINESS MANAGEMENT;;19;21;19;4;3;Math_Lit_Level: 4 | Tech_Math_Level: 3;46
College of Business and Economics;TRANSPORTATION MANAGEMENT;;22;24;22;4;3;Math_Lit_Level: 5 | Tech_Math_Level: 3;47
College of Business and Economics;BACHELOR OF COMMERCE IN ACCOUNTANCY;;28;;;4;4;Math_Lit_Level: Not accepted | Tech_Math_Level: Not accepted;47
College of Business and Economics;BACHELOR OF HUMAN RESOURCE MANAGEMENT;;28;28;28;4;4;Math_Lit_Level: 5 | Tech_Math_Level: 4;47
Education;FOUNDATION PHASE TEACHING (Grade R-3);28;;;;Home language:5 OR Additional language:6;Math:3 OR Math Lit/Tech Math:5;;54
Education;INTERMEDIATE PHASE TEACHING (Grade 4-7);28;;;;Home language:5 OR Additional language:6;Math:3 OR Math Lit/Tech Math:5;;54
Education;SENIOR PHASE & FET TEACHING – COMMERCE EDUCATION (ACCOUNTING);28;;;;Home language:5 OR Additional language:6;Math:4;Math Lit/Tech Math: Not applicable;54
Education;SENIOR PHASE & FET TEACHING – COMMERCE EDUCATION (BUSINESS MANAGEMENT);28;;;;4;5;Mathematics: Not applicable;54
Education;SENIOR PHASE & FET TEACHING – COMMERCE EDUCATION (ECONOMICS);28;;;;4;;Mathematics/Math Lit: Not applicable;54
Education;SENIOR PHASE & FET TEACHING – LIFE ORIENTATION (PSYCHOLOGY);28;;;;Home language:5 OR Additional language:6;;;54
Education;SENIOR PHASE & FET TEACHING – GEOGRAPHY;28;;;;Home language:5 OR Additional language:6;Math/Tech Math:4 OR Math Lit:6;Geography:3 AND (Life Sciences:3 OR Physical Sciences:3);55
Education;SENIOR PHASE & FET TEACHING – LIFE SCIENCES;28;;;;Home language:5 OR Additional language:6;Math/Tech Math:4 OR Math Lit:6;Life Sciences:4 OR Physical Sciences:4;55
Education;SENIOR PHASE & FET TEACHING – MATHEMATICS;28;;;;Home language:5 OR Additional language:6;Math/Tech Math:4 OR Math Lit:6;;55
Education;SENIOR PHASE & FET TEACHING – PHYSICAL SCIENCE;28;;;;Home language:5 OR Additional language:6;Math/Tech Math:4;Physical Sciences:4;55
Education;SENIOR PHASE & FET TEACHING – LANGUAGE EDUCATION (ENGLISH);28;;;;Home language:5 OR Additional language:6;;;55
Education;SENIOR PHASE & FET TEACHING – LANGUAGE EDUCATION (AFRIKAANS);28;;;;Home language:5 OR Additional language:6;;Afrikaans Home language:4 OR Additional language:5;55
Education;SENIOR PHASE & FET TEACHING – LANGUAGE EDUCATION (ISIZULU);28;;;;Home language:5 OR Additional language:6;;isiZulu Home language:4 OR Additional language:5;55
Education;SENIOR PHASE & FET TEACHING – LANGUAGE EDUCATION (SEPEDI);28;;;;Home language:5 OR Additional language:6;;Sepedi Home language:4 OR Additional language:5;55
Engineering and the Built Environment;CIVIL ENGINEERING;32;;;;5;5;Physical_Sciences_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;ELECTRICAL AND ELECTRONIC ENGINEERING;32;;;;5;5;Physical_Sciences_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;MECHANICAL ENGINEERING;32;;;;5;5;Physical_Sciences_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;CHEMICAL ENGINEERING;30;;;;4;5;Physical_Sciences_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;CIVIL ENGINEERING;28;;;;4;5;Physical_Sciences_Level: 5 OR Technical_science_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;ELECTRICAL ENGINEERING;30;;;;4;5;Physical_Sciences_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;EXTRACTION METALLURGY;30;;;;4;5;Physical_Sciences_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;INDUSTRIAL ENGINEERING;30;;;;4;5;Physical_Sciences_Level: 5 OR Technical_science_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;MECHANICAL ENGINEERING;30;;;;4;5;Physical_Sciences_Level: 5 OR Technical_science_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;MINING ENGINEERING;23;;;;4;5;Physical_Sciences_Level: 5 OR Technical_science_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;PHYSICAL METALLURGY;30;;;;4;5;Physical_Sciences_Level: 5 | Technical_Mathematics_level: 5;60
Engineering and the Built Environment;MINE SURVEYING;23;;;;4;5;Technical_Mathematics_level 5 | Physical_Sciences_Level: 5 OR Technical_science_Level: 5;61
Engineering and the Built Environment;CONSTRUCTION;30;;;;4;5;Technical_Mathematics_level 5 | Physical_Sciences_Level: 5 OR Technical_science_Level: 5;61
Engineering and the Built Environment;URBAN AND REGIONAL PLANNING;27;;;;4;5;Technical_Mathematics_level 5 | Geography_Level: 5;61
Engineering and the Built Environment;DIPLOMA PROGRAMMES (3 years) MANAGEMENT SERVICES;;19;21;;4;3;Technical_Mathematics_level: 3 | Math_Lit_Level: 5;62
Engineering and the Built Environment;OPERATIONS MANAGEMENT;;20;22;;4;3;Technical_Mathematics_level: 3 | Math_Lit_Level: 5;62
Engineering and the Built Environment;CONSTRUCTION;26;;;;4;5;Technical_Mathematics_level: 5 | Physical_Sciences_Level: 5 or Technical_Science_Level: 5;63
Engineering and the Built Environment;CIVIL ENGINEERING;26;;;;4;4;Physical_Sciences_Level: 4 or Technical_Science_Level: 4;63
Engineering and the Built Environment;ELECTRICAL ENGINEERING;26;;;;4;5;Physical_Sciences_Level: 5 or Technical_Science_Level: 5;63
Engineering and the Built Environment;EXTRACTION METALLURGY;22;;;;4;4;Physical_Sciences_Level: 4 or Technical_Science_Level: 4;63
Engineering and the Built Environment;INDUSTRIAL ENGINEERING;24;;;;4;5;Physical_Sciences_Level: 5 or Technical_Science_Level: 5;63
Engineering and the Built Environment;MECHANICAL ENGINEERING;24;;;;4;5;Physical_Sciences_Level: 5 or Technical_Science_Level: 5;63
Engineering and the Built Environment;PHYSICAL METALLURGY;22;;;;4;4;Physical_Sciences_Level: 4 or Technical_Science_Level: 4;63
Engineering and the Built Environment;MANAGEMENT SERVICES;;19;21;;4;3;Technical_Mathematics_level: 3 | Math_Lit_Level: 5;63
Engineering and the Built Environment;OPERATIONS MANAGEMENT;;20;22;;4;3;Technical_Mathematics_level: 3 | Math_Lit_Level: 5;63
Health Sciences;BIOKINETICS;;32;33;;5;4;Math_Lit_Level: 5;66
Health Sciences;DIAGNOSTIC RADIOGRAPHY;;31;;;5;4;Physical_Science_Level: 4 | Life_Science_Level: 5;66
Health Sciences;DIAGNOSTIC UL TRASOUND;;31;;;5;4;Physical_Science_Level: 4 | Life_Science_Level: 5;66
Health Sciences;NUCLEAR MEDICINE;;31;;;5;4;Physical_Science_Level: 4 | Life_Science_Level: 5;66
Health Sciences;RADIATION THERAPY;;31;;;5;4;Physical_Science_Level: 4 | Life_Science_Level: 5;66
Health Sciences;CHIROPRACTIC;28;;;;5;4;Math_Lit_Level: Not accepted | Physical_Sciences_Level: 4 or Life_Sciences_Level: 4 | Selection process: academic results, questionnaire, 2 letters of recommendation/observation from practising Doctors of Chiropractic, interview;67
Health Sciences;COMPLEMENTARY MEDICINE;28;;;;5;4;Math_Lit_Level: Not accepted | Physical_Sciences_Level: 4 or  Life_Sciences_Level: 4 | Selection process: assignment, visit on-campus Complementary Medicine Clinic, letter of recommendation from practitioner;67
Health Sciences;EMERGENCY MEDICAL CARE (EMC);27;;;;5;4;Math_Lit_Level: Not accepted | Physical_Sciences_Level: 4 | Life_Sciences_Level: 4 | Selection: fitness assessment, phobias evaluation, medical examination;67
Health Sciences;MEDICAL LABORATORY SCIENCE;30;;;;5;4;Technical_Mathematics_Level: 4 | Math_Lit_Level: Not accepted | Physical_Sciences_Level: 4 | Life_Sciences_Level: 5;67
Health Sciences;PODIATRY;28;;;;5;4;Math_Lit_Level: Not accepted | Physical_Sciences_Level: 4 | Life_Sciences_Level: 4;67
Health Sciences;NURSING;30;;;;5;4;Physical_Science_Level: 4 | Life_Science_Level: 4;68
Health Sciences;B OPTOM;34;;;;5;5;Physical_Science_Level: 5 | Life_Science_Level: 5;68
Health Sciences;ENVIRONMENTAL HEALTH;24;;;;4;4;Math_Lit_Level: Not accepted | Physical_Sciences_Level: 4 | Life_Science_Level 4;68
Health Sciences;SPORT AND EXERCISE SCIENCES;;27;28;;5;3;Math_Lit_Level: 4 | Physical_Sciences_Level: Not applicable | Life_Sciences_Level: 4 | Technical_Mathematics_Level: 4 | Technical_Science_Level: 4;69
Health Sciences;SPORT MANAGEMENT;;23;;;4;4;Math_Lit_Level: Not accepted;69
Health Sciences;DIPLOMA SPORT MANAGEMENT;;22;23;;3;3;Technical_Mathematics_level: 3 | Math_Lit_Level: 4;70
Humanities;SOCIAL WORK;31;;;;5;;;74
Humanities;BA;27;;;;5;;;75
Humanities;BA with specialisation in LANGUAGE PRACTICE;27;;;;5;;;75
Humanities;BA with specialisation in POLITICS, ECONOMICS AND TECHNOLOGY;;27;27;;;;;75
Humanities;COMMUNITY DEVELOPMENT AND LEADERSHIP;27;;;;5;;;75
Humanities;BA with specialisation in DEVELOPMENT STUDIES (Extended);24-26 or 27;;;;5 OR 4;;;76
Humanities;BA with specialisation in LINGUISTICS (Extended);24-26 or 27;;;;5 OR 4;;;76
Humanities;BA with specialisation in LINGUISTICS AND LANGUAGE PRACTICE (Extended);24-26 or 27;;;;5 OR 4;;;76
Humanities;BA with specialisation in STRATEGIC COMMUNICATION (Extended);24-26 or 27;;;;5 OR 4;;"Interviews conducted with individual applicants; APS depends on English score";76
