Faculty;Programme Name;APS Requirement;Subject Requirements
Faculty of Humanities;BEd (SP & FET Teaching) - Bachelor of Education in Senior Phase & FET Teaching (majoring in Languages and Life Orientation);24;"Life Orientation: 5 (60-69%) | Language (Sepedi; Tshivenda; Xitsonga; English): 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BEd (SP & FET Teaching) - Bachelor of Education in Senior Phase & FET Teaching (majoring in Languages and Social Sciences);24;"English: 3 (40-49%) OR 4 (50-59%) to major in English | Two (2) subjects from Geography; History; Sepedi; Tshivenda; and Xitsonga: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BEd (SP & FET Teaching) - Bachelor of Education in Senior Phase & FET Teaching (majoring in Economics and Management Studies);24;"English: 3 (40-49%) | Two (2) subjects from Accounting; Economics and Business studies: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BEd (SP & FET Teaching) - Bachelor of Education in Senior Phase & FET Teaching (majoring in Mathematics, Science & Technology);24;English: 3 (40-49%) | Mathematics or *Maths Literacy: 4 (50-59%) | Physical Science or Life Science: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Humanities;BEd (FP Teaching) - Bachelor of Education in Foundation Phase Teaching;24;First Language: 4 (50-59%) | Mathematics or *Maths Literacy: 3 (40-49%) or *4 (50-59%) | Additional subjects: Additional subjects
Faculty of Humanities;BA - Bachelor of Arts (Languages stream);25;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BA - Bachelor of Arts (Translation and Linguistics stream);25;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BA - Bachelor of Arts (Performing Arts stream);25;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BInfSt - Bachelor of Information Studies;25;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BA (Contemporary English and Multilingual Studies) - Bachelor of Arts in Contemporary English and Multilingual Studies;25;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 5 (60-69%) (English and Northern Sotho only) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BA (Communication Studies) - Bachelor of Arts in Communication Studies;25;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BA (Media Studies) - Bachelor of Arts in Media Studies;25;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 5 (60-69%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BA (Media Studies) - Bachelor of Arts in Media Studies (Extended Curriculum Programme);23;"English: 4 (50-59%) | Another Language (Sepedi; Tshivenda; Xitsonga): 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total"
Faculty of Humanities;BA - Bachelor of Arts (Criminology and Psychology stream);23/25;English: 4 (50-59%) | Additional Language: 4 (50-59%) | Mathematics OR Maths Literacy: 3 (40-49%) OR 5 (60-69%) | Additional subjects: 4 (50-59%)
Faculty of Humanities;BA - Bachelor of Arts (Cultural Studies stream);23/25;English: 4 (50-59%) | Additional Language: 4 (50-59%) | Mathematics OR Maths Literacy: 3 (40-49%) OR 5 (60-69%) | Additional subjects: 4 (50-59%)
Faculty of Humanities;BA - Bachelor of Arts (Sociology and Anthropology stream);23/25;English: 4 (50-59%) | Additional Language: 4 (50-59%) | Mathematics OR Maths Literacy: 3 (40-49%) OR 5 (60-69%) | Additional subjects: 4 (50-59%)
Faculty of Humanities;BA - Bachelor of Arts (Political Studies stream);25;English: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Humanities;BPsych - Bachelor of Psychology;23/25;English: 4 (50-59%) | Additional Language: 4 (50-59%) | Mathematics OR Maths Literacy: 3 (40-49%) OR 5 (60-69%) | Additional subjects: 4 (50-59%)
Faculty of Humanities;BA - Bachelor of Arts (Criminology and Psychology stream) (Extended Curriculum Programme);22/24;English: 4 (50-59%) | Additional Language: 4 (50-59%) | Mathematics OR Maths Literacy: 2 (30-39%) OR 4 (50-59%) | Additional subjects: 4 (50-59%)
Faculty of Humanities;BSW - Bachelor of Social Work;23/25;English: 4 (50-59%) | Additional Language: 4 (50-59%) | Mathematics OR Maths Literacy: 3 (40-49%) OR 5 (60-69%) | Additional subjects: 4 (50-59%)
Faculty of Management & Law;BAcc - Bachelor of Accountancy;30;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Management & Law;BCom (Accountancy) - Bachelor of Commerce in Accountancy;28;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
Faculty of Management & Law;BCom (Accountancy) - Bachelor of Commerce in Accountancy (Extended Curriculum Programme);26;English: 4 (50-59%) | Mathematics: 4 (50-59%) | Additional subjects: Additional subjects to contribute to minimum APS total
