Faculty;Programme;Programme Code;Qualification Type;Minimum APS;English Requirement;Mathematics Requirement;Physical Sciences Requirement;Life Sciences Requirement;Additional Subject Requirements;Duration (Years);Source Page;;
Humanities Social Sciences and Education;Bachelor of Arts (Media Studies);HSBAMS;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;English or African Languages 50%;3;10;;
Humanities Social Sciences and Education;Bachelor of Arts (Development Studies);HSBADS;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;History or Economics 50%;3;10;;
Humanities Social Sciences and Education;Bachelor of Arts;HSBBA;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;;3;10;;
Humanities Social Sciences and Education;Bachelor of Indigenous Knowledge Systems;HSBIKS;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;;4;10;;
Humanities Social Sciences and Education;Bachelor of Arts in Language Practice;HSBALP;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;African Language (isiNdebele/N. Sotho/Siswati/Tshivenda/Xitsonga) 50%;4;10;;
Humanities Social Sciences and Education;Bachelor of Arts (English and Literature);HSBAEL;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;;3;10;;
Humanities Social Sciences and Education;Bachelor of Arts in International Relations;HSBAIR;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;History or Economics 50%;3;10;;
Humanities Social Sciences and Education;Bachelor of Arts Youth in Development;HSBAYD;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;;4;10;;
Humanities Social Sciences and Education;Bachelor of Arts (History);HSBBAH;Degree;30;50% (adequate achievement);Not specified;Not specified;Not specified;History 50%;3;10;;
Humanities Social Sciences and Education;Bachelor of Theology;HSBBT;Degree;30;Not specified;Not specified;Not specified;Not specified;NSC 30+ or RPL per University Policy;3;10;;
Humanities Social Sciences and Education;Higher Certificate in Music;HSCHCM;Higher Certificate;30;Adequate achievement;Not specified;Not specified;Not specified;Certificate in Music;1;10;;
Humanities Social Sciences and Education;Bachelor of Social Work;HSBBSW;Degree;35;50% (adequate achievement);Not specified;Not specified;Not specified;;4;10;;
Humanities Social Sciences and Education;Bachelor of Education (Senior Phase and FET Teaching);SEBESP / SEBECP / SEBELP;Degree;36;50%;Not specified;Not specified;Not specified;Two subjects at 50% from: Maths+PhysSci+Life Sci OR Accounting+Business+Economics OR History+Geography+Sepedi/Tshivenda/Xitsonga;4;11;;
