Faculty/College;Programme;Academic_Plan_Code;SAQA_ID;NQF_Level;Qualification_Type;Duration_Years;Campus;Min_APS;English_Requirement;Mathematics_Requirement;MathLit_Accepted;Life_Sciences_Requirement;Physical_Sciences_Requirement;Additional_Subject_Requirements;Subject_to_Selection/Access_Extended;Special_Notes;Source
APS NOTE;"VUT (Vaal University of Technology) uses the standard NSC 7-point achievement level scale: L7=80-100%; L6=70-79%; L5=60-69%; L4=50-59%; L3=40-49%; L2=30-39%; L1=0-29%. Life Orientation is excluded from APS calculations (not capped - excluded entirely). APS is calculated from best 6 subjects excluding LO. Meeting minimum requirements does NOT guarantee acceptance - selection is competitive. Applications close 30 September (academic); 31 October (residences). Application fee: R110 (pay via ABSA Bank, acc 530 861 945, branch 632 005, use ID/passport as reference). Apply online at www.vut.ac.za. N3/N4/N5/N6 applicants: refer to VUT website for separate requirements. International qualifications evaluated by VUT International Office and SAQA.";;;;;;;;;;;;;;;;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Diploma in Analytical Chemistry;;;6;Diploma;3;Vanderbijlpark;21;Level 4 (50%+);Level 4 (50%+) Pure Maths OR Technical Maths OR Engineering Mathematics (TVET N4 at 60%);Not accepted;;Level 4 (50%+) Physical Sciences OR Engineering Sciences (TVET N4 at 60%) - compulsory;Any other 3 subjects contributing minimum 9 APS points combined (L3 each);No;MathLit not accepted. Maths/Tech Maths/Engineering Maths and Physical Science/Engineering Science all compulsory at L4. TVET N4 Engineering Mathematics and Engineering Sciences accepted at 60%+.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Diploma in Agricultural Management;;;6;Diploma;3;Vanderbijlpark;21;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;Level 3 (40%+) Agriculture OR Life Sciences - compulsory;;Agriculture or Life Sciences L3 compulsory. Recommended: Business Studies, Economics, Computer Studies, Geography;No;MathLit accepted at L4 (higher minimum than Maths L3). APS with MathLit = 22 (excl. LO). Agriculture and Life Sciences interchangeable at L3.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Diploma in Biotechnology;;;6;Diploma;3;Vanderbijlpark;23;Level 4 (50%+);Level 4 (50%+) Maths OR Engineering Mathematics (60%+);Not accepted;Level 4 (50%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences OR Engineering Sciences (60%+) - compulsory;;No;MathLit not accepted. Life Sciences, Physical Sciences/Engineering Sciences and Maths all compulsory at L4. TVET Engineering Mathematics and Engineering Sciences accepted at 60%.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Diploma in Non-Destructive Testing;;;6;Diploma;3;Vanderbijlpark;19;Level 3 (40%+);Level 3 (40%+) Maths OR Technical Mathematics;Not accepted;;Level 4 (50%+) Physical Sciences OR Technical Science - compulsory;;No;MathLit not accepted. Physical Sciences/Technical Science at higher level (L4) than other subjects. Lowest APS of all ACS diplomas at 19. Maths/Tech Maths accepted at L3.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Diploma in Information Technology;;;6;Diploma;3;Vanderbijlpark;26;Level 4 (50%+);Level 4 (50%+) Maths OR Technical Mathematics;Yes - Level 6 (70%+) MathLit;;;Other 4 subjects (excl. LO) contributing to APS total;No;MathLit accepted but at high level L6 (70%+). APS = 28 with MathLit. Max 6 subjects counted for APS (excl. LO). Mainstream 3-year programme. Extended 4-year programme also available (APS 24/26).;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Diploma in Information Technology (Extended Programme);;;6;Diploma;4;Vanderbijlpark;24;Level 4 (50%+);Level 4 (50%+) Maths OR Technical Mathematics;Yes - Level 6 (70%+) MathLit;;;Other 4 subjects (excl. LO) contributing to APS total;Access/Extended;Extended (Foundation) 4-year programme for students not meeting mainstream APS 26. MathLit accepted at L6. APS = 26 with MathLit. Max 6 subjects counted for APS (excl. LO).;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Bachelor of Health Sciences in Medical Laboratory Science;;;8;Bachelor's Degree;4;Vanderbijlpark;27;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;Level 5 (60%+) Life Sciences - compulsory;Level 4 (50%+) Physical Sciences - compulsory;;Selection;MathLit not accepted. Life Sciences required at high level L5 (60%+). All sciences compulsory at L4+. APS 27 is highest in this faculty. 4-year professional health science degree. Enquiries: Senzekile Maphosa 016-950-9803.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Applied and Computer Sciences;Diploma in Environmental Science;;;6;Diploma;3;Vanderbijlpark;21;Level 4 (50%+);Level 4 (50%+) Maths - PURE Maths only;Not accepted;;Level 4 (50%+) Physical Sciences - compulsory;;No;"MathLit not accepted. Pure Maths required (Technical/Engineering Maths not listed). Physical Sciences compulsory at L4. Only 3 subjects specified; remaining subjects contribute to APS total.";https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Financial Information Systems;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 5 (60%+) MathLit;;;Accounting Level 4 (50%+) compulsory;No;MathLit accepted at L5. Accounting compulsory at L4. APS 22 with MathLit. Enquiries: Maria Mpondo mariamp@vut.ac.za 016-950-9217.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Cost and Management Accounting;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 5 (60%+) MathLit;;;Accounting Level 4 (50%+) compulsory;No;MathLit accepted at L5. Accounting compulsory at L4. APS 22 with MathLit. Enquiries: Maria Mpondo mariamp@vut.ac.za 016-950-9217.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Internal Auditing;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 6 (70%+) MathLit;;;Accounting Level 4 (50%+) compulsory;No;MathLit accepted but at higher level L6 (70%+) vs Financial Info Systems (L5). APS 23 with MathLit. Accounting compulsory at L4. Enquiries: Maria Mpondo mariamp@vut.ac.za 016-950-9217.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Human Resources Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One other subject Level 4 (50%+) compulsory;No;MathLit accepted at L4. APS 21 with MathLit. One additional subject at L4 required. NCV Level 4 qualification also accepted. Enquiries: Esther Mokoena 016-950-9366.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Logistics and Supply Chain Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One other subject Level 4 (50%+) compulsory;No;MathLit accepted at L4. APS 21 with MathLit. One additional subject at L4 required. NCV Level 4 qualification also accepted. Enquiries: Queen Dhlamini 016-950-6762.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Marketing Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One other subject Level 4 (50%+) compulsory;No;MathLit accepted at L4. APS 21 with MathLit. One additional subject at L4 required. Enquiries: Benjamin Letebele 016-950-6877.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Retail Business Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One other subject Level 4 (50%+) compulsory;No;MathLit accepted at L4. APS 21 with MathLit. One additional subject at L4 required. Enquiries: Benjamin Letebele 016-950-6877.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Management Sciences;Diploma in Sport Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One other subject Level 4 (50%+) compulsory;No;MathLit accepted at L4. APS 21 with MathLit. One additional subject at L4 required. Enquiries: Benjamin Letebele 016-950-6877.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Fashion Design;;;6;Diploma;3;Vanderbijlpark;21;Level 4 (50%+);Level 2 (30%+) Maths OR Technical Mathematics;Yes - Level 3 (40%+) MathLit;;;;No;Very low Maths entry (L2/30%+). MathLit accepted at L3. APS 22 with MathLit. Portfolio assessment likely required. Matric certificate must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Photography;;;6;Diploma;3;Vanderbijlpark;21;Level 4 (50%+);Level 2 (30%+) Maths OR Technical Mathematics;Yes - Level 3 (40%+) MathLit;;;;No;Very low Maths entry (L2/30%+). MathLit accepted at L3. APS 22 with MathLit. Portfolio assessment likely required. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Graphic Design;;;6;Diploma;3;Vanderbijlpark;21;Level 4 (50%+);Level 2 (30%+) Maths OR Technical Mathematics;Yes - Level 3 (40%+) MathLit;;;;No;Very low Maths entry (L2/30%+). MathLit accepted at L3. APS 22 with MathLit. Portfolio assessment likely required. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Fine Art;;;6;Diploma;3;Vanderbijlpark;21;Level 4 (50%+);Level 2 (30%+) Maths OR Technical Mathematics;Yes - Level 3 (40%+) MathLit;;;;No;Very low Maths entry (L2/30%+). MathLit accepted at L3. APS 22 with MathLit. Portfolio assessment likely required. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Food Service Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One subject from: Hospitality, Hotel, Tourism, Catering, Accounting, Business Studies or Consumer Studies at Level 4 (50%+) - compulsory;No;MathLit accepted at L4. APS 21 with MathLit. Relevant hospitality subject compulsory at L4. Chef uniforms compulsory (specifications from department). Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
Faculty of Human Sciences;Diploma in Public Relations Management;;;6;Diploma;3;Vanderbijlpark;20;Level 4 (50%+);Level 3 (40%+) Maths OR Technical Mathematics;Yes - Level 4 (50%+) MathLit;;;One subject from: Tourism, Geography, Business Studies or History at Level 4 (50%+) - compulsory;No;MathLit accepted at L4. APS 21 with MathLit. One relevant humanities subject compulsory at L4. Matric must indicate admission to Diploma.;https://vut.ac.za/wp-content/uploads/2026/03/2027-Undergraduate-Minimum-Admission-Requirements.pdf
